Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0014068~positive regulation of phosphatidylinositol 3-kinase signaling	6	2.097902097902098	0.001031853803543174	7042, 2066, 2149, 2534, 1634, 284	200	65	16792	7.750153846153846	0.7461493846191685	0.7461493846191685	1.6758700258654669
GOTERM_BP_DIRECT	GO:0010596~negative regulation of endothelial cell migration	4	1.3986013986013985	0.0011732095698388518	6781, 9353, 1634, 7057	200	18	16792	18.657777777777778	0.7896404285633315	0.5413502736982518	1.9033863472339263
GOTERM_BP_DIRECT	GO:0019915~lipid storage	4	1.3986013986013985	0.002761865041316363	8694, 84649, 130399, 857	200	24	16792	13.993333333333334	0.9745955530775696	0.7060298404326949	4.426609822751281
GOTERM_BP_DIRECT	GO:0036155~acylglycerol acyl-chain remodeling	3	1.048951048951049	0.0028218801327988385	8694, 84649, 11343	200	7	16792	35.98285714285714	0.9765469381058547	0.6086639226654571	4.520725183439522
GOTERM_BP_DIRECT	GO:0070374~positive regulation of ERK1 and ERK2 cascade	8	2.797202797202797	0.0049005403263635006	2066, 4835, 6366, 2149, 54209, 2263, 284, 57007	200	175	16792	3.838171428571429	0.9985320904987897	0.7287686682868976	7.727281805664488
GOTERM_BP_DIRECT	GO:0001933~negative regulation of protein phosphorylation	5	1.7482517482517483	0.005898690888856975	91663, 152559, 9353, 135228, 284	200	61	16792	6.881967213114755	0.9996128337389868	0.7300295373863234	9.230842423520436
GOTERM_BP_DIRECT	GO:0007507~heart development	8	2.797202797202797	0.006229332410081138	7042, 5465, 2066, 80114, 23767, 57545, 9645, 2737	200	183	16792	3.6703825136612025	0.9997510919955915	0.6944034767541198	9.723809662030469
GOTERM_BP_DIRECT	GO:0045598~regulation of fat cell differentiation	3	1.048951048951049	0.010002234235985487	374462, 23426, 65989	200	13	16792	19.375384615384615	0.9999984069227783	0.8115137806328812	15.173847135985529
GOTERM_BP_DIRECT	GO:0030168~platelet activation	6	2.097902097902098	0.011942301216308859	2149, 54331, 558, 2534, 1608, 7222	200	115	16792	4.380521739130435	0.9999998822657067	0.8301363971840308	17.854536615176166
GOTERM_BP_DIRECT	GO:0060348~bone development	4	1.3986013986013985	0.013406875425950992	6716, 6781, 5734, 2263	200	42	16792	7.996190476190476	0.9999999835798792	0.8334526852336226	19.8253025779783
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	11	3.8461538461538463	0.014974872288605043	2053, 84807, 10563, 1893, 5423, 6366, 2149, 558, 1401, 7057, 11343	200	379	16792	2.4368337730870713	0.9999999980137824	0.8382249543821758	21.88598299861567
GOTERM_BP_DIRECT	GO:0010595~positive regulation of endothelial cell migration	4	1.3986013986013985	0.017129018752538375	306, 147372, 284, 7057	200	46	16792	7.300869565217392	0.9999999998915151	0.852220532059373	24.636002052878524
GOTERM_BP_DIRECT	GO:0007155~cell adhesion	12	4.195804195804196	0.021198208919054072	4059, 10085, 1805, 4958, 4739, 3679, 1006, 5067, 56132, 1824, 7057, 57007	200	459	16792	2.195032679738562	0.9999999999995608	0.8879444238301291	29.584510879892168
GOTERM_BP_DIRECT	GO:0055085~transmembrane transport	8	2.797202797202797	0.026500100502630325	6568, 10227, 57864, 23460, 345274, 84102, 55356, 55244	200	244	16792	2.7527868852459014	0.9999999999999997	0.9217331517685639	35.575261490556585
GOTERM_BP_DIRECT	GO:0030097~hemopoiesis	4	1.3986013986013985	0.03282557093470338	7042, 860, 90338, 284	200	59	16792	5.692203389830508	1.0	0.9479174621416437	42.09634647905346
GOTERM_BP_DIRECT	GO:0002576~platelet degranulation	5	1.7482517482517483	0.03415564601808299	7042, 1893, 6694, 5099, 7057	200	103	16792	4.075728155339806	1.0	0.9441152813436438	43.38624655624259
GOTERM_BP_DIRECT	GO:0030206~chondroitin sulfate biosynthetic process	3	1.048951048951049	0.035062713481550586	23169, 1634, 50515	200	25	16792	10.075199999999999	1.0	0.9384674003148672	44.25038914715398
GOTERM_BP_DIRECT	GO:0002040~sprouting angiogenesis	3	1.048951048951049	0.035062713481550586	147372, 284, 7057	200	25	16792	10.075199999999999	1.0	0.9384674003148672	44.25038914715398
GOTERM_BP_DIRECT	GO:0010751~negative regulation of nitric oxide mediated signal transduction	2	0.6993006993006993	0.0351350458840396	7057, 6690	200	3	16792	55.973333333333336	1.0	0.9285544365097061	44.3187627152502
GOTERM_BP_DIRECT	GO:0008104~protein localization	4	1.3986013986013985	0.035727456798071745	57863, 2792, 23426, 857	200	61	16792	5.505573770491803	1.0	0.9213589625434174	44.875794651146194
GOTERM_BP_DIRECT	GO:0000165~MAPK cascade	8	2.797202797202797	0.03687511647499199	2066, 152559, 2674, 2263, 2534, 857, 284, 151742	200	262	16792	2.563664122137405	1.0	0.9174865254519596	45.94006140668516
GOTERM_BP_DIRECT	GO:0042476~odontogenesis	3	1.048951048951049	0.04039847611192603	7042, 8313, 2263	200	27	16792	9.328888888888889	1.0	0.9263005136812613	49.08813697954471
